問題番号,古文単語,日本語訳
1,をかし,趣がある・風情がある
2,いみじ,とても・すばらしい
3,あはれ,しみじみとした情趣がある・しみじみ
4,あやし,不思議だ・身分が低い
5,ありがたし,めったにない
6,うつくし,かわいい
7,うし(憂し),つらい
8,あさまし,驚きあきれる
9,いと,とても
10,いにしへ,昔
11,いづ,出る
12,いづこ,どこ
13,いづれ,どちら
14,おはす,いらっしゃる
15,おぼす,お思いになる
16,のたまふ,おっしゃる
17,侍り,ございます（丁寧語）
18,やがて,すぐに・そのまま
19,やうやう,だんだん
20,めでたし,すばらしい
21,かなし,いとおしい・かわいい
22,かたし,難しい
23,かぎりなし,この上ない・最高だ
24,けしき,様子・態度
25,さま,様子
26,さらば,そうならば
27,さりとて,そうかといって
28,しのぶ,がまんする・思い出す
29,す,する
30,ず,〜ない
31,すべ,方法・手段
32,ためし,例・手本
33,つきづきし,ふさわしい
34,つとめて,早朝
35,つれづれ,退屈だ・所在ない
36,としごろ,長年
37,とて,〜といって
38,ども,〜けれども
39,なり,〜にいる・ある・〜である
40,なんぢ,おまえ
41,にあらず,〜ではない
42,にはか,急に
43,はなはだ,とても
44,ひさし(久し),長い
45,ふみ,手紙・文書
46,む(ん),〜だろう・〜しよう
47,よし,理由・方法
48,よろづ,すべて・いろいろ
49,ありがたし,めったにない
50,いとほし,気の毒だ
51,あな,ああ・あら
52,あまた,たくさん
53,あやなし,筋が通らない
54,あし,悪い
55,あり,存在する
56,口惜し,残念だ
57,けり,〜た（過去）
58,ごとし,〜のようだ
59,ことわり(理),道理
60,かく,このように
61,かかる,このような
62,いはく(曰く),言うことには
63,いとど,ますます
64,おのれ,自分・お前
65,おのづから,自然に・ひとりで
66,おきな,おじいさん
67,いかで,どうして・なんとかして
68,いかなる,どういう
69,いかに,なぜ・どのように
70,いざ,さあ
71,をかし,趣がある・風情がある
72,あした,早朝・朝
73,ゆゑ,〜のため・理由
74,さま,様子
75,かなし,かわいい
76,ありがたし,めったにない
77,うつくし,かわいい
78,いと,とても
79,けしき,様子・態度
80,しのぶ,がまんする